,timestamp,landmarks
0,0.0,"{'Head_end': [0.4639325737953186, 0.16282495856285095, -0.11289138346910477], 'UpperArmL': [0.43330588936805725, 0.23439276218414307, 0.05504908412694931], 'UpperArmR': [0.43037092685699463, 0.23364366590976715, -0.24052225053310394], 'LoweArmL': [0.43923982977867126, 0.35907766222953796, 0.09695711731910706], 'LoweArmR': [0.4364914000034332, 0.36494356393814087, -0.27977246046066284], 'HandL': [0.4484831392765045, 0.45424211025238037, 0.04695328325033188], 'HandR': [0.45800673961639404, 0.4683557450771332, -0.27568939328193665], 'Hip.L': [0.4449385702610016, 0.47383803129196167, 0.09240835160017014], 'Hip.R': [0.44348886609077454, 0.47509923577308655, -0.09252562373876572], 'ShinL': [0.4552290737628937, 0.6136444807052612, 0.19146674871444702], 'ShinR': [0.45934730768203735, 0.6336492300033569, -0.006003392860293388], 'FootL': [0.42351290583610535, 0.7351040840148926, 0.32459285855293274], 'FootR': [0.4351383447647095, 0.768409013748169, 0.12096194177865982], 'FootL_end': [0.44396379590034485, 0.7694008350372314, 0.30422040820121765], 'FootR_end': [0.47024914622306824, 0.7961854934692383, 0.07408444583415985]}"
1,33.36666666666667,"{'Head_end': [0.463350385427475, 0.15806007385253906, -0.09081905335187912], 'UpperArmL': [0.43262580037117004, 0.23063187301158905, 0.08545220643281937], 'UpperArmR': [0.43052637577056885, 0.22783096134662628, -0.23881837725639343], 'LoweArmL': [0.438017874956131, 0.35473117232322693, 0.11937396973371506], 'LoweArmR': [0.43600842356681824, 0.3556528389453888, -0.2796805500984192], 'HandL': [0.4492921531200409, 0.45180076360702515, 0.061613041907548904], 'HandR': [0.4652993977069855, 0.46081623435020447, -0.2722051441669464], 'Hip.L': [0.44488754868507385, 0.4615391194820404, 0.09745614230632782], 'Hip.R': [0.44272521138191223, 0.4626339375972748, -0.09755751490592957], 'ShinL': [0.46293318271636963, 0.6034079790115356, 0.15395483374595642], 'ShinR': [0.4524840712547302, 0.6279664635658264, -0.04414715990424156], 'FootL': [0.42353880405426025, 0.7175393104553223, 0.26184630393981934], 'FootR': [0.43338504433631897, 0.7708713412284851, 0.0499824695289135], 'FootL_end': [0.43198367953300476, 0.7686599493026733, 0.23836857080459595], 'FootR_end': [0.46778565645217896, 0.7998202443122864, -0.014985907822847366]}"
2,100.1,"{'Head_end': [0.46298351883888245, 0.15155087411403656, -0.07830850780010223], 'UpperArmL': [0.4322105646133423, 0.22780552506446838, 0.09966643154621124], 'UpperArmR': [0.4305194318294525, 0.22287574410438538, -0.2260282188653946], 'LoweArmL': [0.43768730759620667, 0.34980663657188416, 0.1299944519996643], 'LoweArmR': [0.43612292408943176, 0.3403458297252655, -0.26435142755508423], 'HandL': [0.45471900701522827, 0.4358551800251007, 0.0597858689725399], 'HandR': [0.473280131816864, 0.4399448335170746, -0.24705006182193756], 'Hip.L': [0.4460943937301636, 0.4541144073009491, 0.0972428023815155], 'Hip.R': [0.43891197443008423, 0.4556492269039154, -0.09731615334749222], 'ShinL': [0.4746536612510681, 0.5881862640380859, 0.14346720278263092], 'ShinR': [0.43604618310928345, 0.6216041445732117, -0.05081642419099808], 'FootL': [0.43322667479515076, 0.7188745737075806, 0.23708003759384155], 'FootR': [0.4276218116283417, 0.7711114883422852, 0.031467750668525696], 'FootL_end': [0.4492552876472473, 0.7684997916221619, 0.20427879691123962], 'FootR_end': [0.4621678590774536, 0.7992938160896301, -0.04304736107587814]}"
3,200.2,"{'Head_end': [0.4616759717464447, 0.14829212427139282, -0.052580177783966064], 'UpperArmL': [0.4320507049560547, 0.22525611519813538, 0.11259294301271439], 'UpperArmR': [0.43053993582725525, 0.2190229445695877, -0.20298857986927032], 'LoweArmL': [0.4366297721862793, 0.34627875685691833, 0.15469661355018616], 'LoweArmR': [0.43813058733940125, 0.3303106427192688, -0.24422374367713928], 'HandL': [0.4546947181224823, 0.4370076060295105, 0.10338054597377777], 'HandR': [0.4831587076187134, 0.4163251221179962, -0.2277972549200058], 'Hip.L': [0.4463804066181183, 0.4526534974575043, 0.09090866893529892], 'Hip.R': [0.43536898493766785, 0.452962189912796, -0.0908738449215889], 'ShinL': [0.4808923900127411, 0.5809374451637268, 0.0663059651851654], 'ShinR': [0.42499005794525146, 0.6109412312507629, -0.06878244876861572], 'FootL': [0.446684330701828, 0.7204985618591309, 0.14667198061943054], 'FootR': [0.41663673520088196, 0.7686218619346619, 0.004741004202514887], 'FootL_end': [0.47536787390708923, 0.7694061398506165, 0.0993337482213974], 'FootR_end': [0.4459562301635742, 0.7992008924484253, -0.07462146133184433]}"
4,333.66666666666663,"{'Head_end': [0.46110913157463074, 0.1483287513256073, -0.03644566237926483], 'UpperArmL': [0.43109795451164246, 0.2256636917591095, 0.13235388696193695], 'UpperArmR': [0.4308509826660156, 0.21722562611103058, -0.1931343376636505], 'LoweArmL': [0.4358826279640198, 0.34688249230384827, 0.1742718517780304], 'LoweArmR': [0.44323569536209106, 0.32699936628341675, -0.24018612504005432], 'HandL': [0.4597114622592926, 0.4310329258441925, 0.12909476459026337], 'HandR': [0.49156346917152405, 0.39551466703414917, -0.23291607201099396], 'Hip.L': [0.44641226530075073, 0.45159488916397095, 0.09105277061462402], 'Hip.R': [0.4329710006713867, 0.4519351124763489, -0.09098673611879349], 'ShinL': [0.483631432056427, 0.5783576965332031, 0.0760895237326622], 'ShinR': [0.4210624694824219, 0.605202853679657, -0.12468164414167404], 'FootL': [0.46391725540161133, 0.7222890853881836, 0.1408924013376236], 'FootR': [0.40150415897369385, 0.768783450126648, -0.09269184619188309], 'FootL_end': [0.5022392272949219, 0.7676829695701599, 0.09144749492406845], 'FootR_end': [0.43914857506752014, 0.8002917170524597, -0.1790751814842224]}"
5,500.5,"{'Head_end': [0.4599526524543762, 0.15428891777992249, -0.03185345605015755], 'UpperArmL': [0.43015605211257935, 0.2275884598493576, 0.13424794375896454], 'UpperArmR': [0.430553138256073, 0.21855045855045319, -0.1851692944765091], 'LoweArmL': [0.43596401810646057, 0.34755584597587585, 0.17594793438911438], 'LoweArmR': [0.4448426365852356, 0.32852619886398315, -0.2454950213432312], 'HandL': [0.4693249464035034, 0.4202650189399719, 0.13011080026626587], 'HandR': [0.49747785925865173, 0.38259515166282654, -0.2410959154367447], 'Hip.L': [0.44615045189857483, 0.4530358910560608, 0.09090566635131836], 'Hip.R': [0.43170657753944397, 0.4535951316356659, -0.09086856245994568], 'ShinL': [0.48391905426979065, 0.5810425281524658, 0.05841429904103279], 'ShinR': [0.4176599085330963, 0.6062695384025574, -0.10879351943731308], 'FootL': [0.4811781644821167, 0.7290684580802917, 0.10669407993555069], 'FootR': [0.3908326029777527, 0.7694464325904846, -0.06502703577280045], 'FootL_end': [0.5228055119514465, 0.7672404050827026, 0.0496705062687397], 'FootR_end': [0.4312467873096466, 0.8027886748313904, -0.1479153335094452]}"
6,700.7,"{'Head_end': [0.4597434103488922, 0.15895551443099976, -0.013637736439704895], 'UpperArmL': [0.4289935529232025, 0.23206794261932373, 0.14001677930355072], 'UpperArmR': [0.4306989014148712, 0.218838170170784, -0.18400809168815613], 'LoweArmL': [0.4339264929294586, 0.3478071391582489, 0.17858760058879852], 'LoweArmR': [0.4463686943054199, 0.3281168043613434, -0.22870153188705444], 'HandL': [0.46692943572998047, 0.4186789095401764, 0.13664622604846954], 'HandR': [0.501883327960968, 0.37167397141456604, -0.1969476342201233], 'Hip.L': [0.44355663657188416, 0.4585530161857605, 0.09251704066991806], 'Hip.R': [0.43075668811798096, 0.4633297324180603, -0.0925578773021698], 'ShinL': [0.48123204708099365, 0.584382951259613, 0.09955959767103195], 'ShinR': [0.41442540287971497, 0.6075885891914368, -0.08339159190654755], 'FootL': [0.49844926595687866, 0.7463427186012268, 0.17609553039073944], 'FootR': [0.38348129391670227, 0.7718832492828369, -0.01873661018908024], 'FootL_end': [0.5483230352401733, 0.766348123550415, 0.13036681711673737], 'FootR_end': [0.423163503408432, 0.8063329458236694, -0.09209185093641281]}"
7,934.2666666666667,"{'Head_end': [0.4589098393917084, 0.1620379090309143, -0.018590595573186874], 'UpperArmL': [0.4286603629589081, 0.2372688353061676, 0.12609663605690002], 'UpperArmR': [0.43142080307006836, 0.22337505221366882, -0.189230814576149], 'LoweArmL': [0.4293546974658966, 0.3499647080898285, 0.16133910417556763], 'LoweArmR': [0.4466288983821869, 0.3289639949798584, -0.2249263972043991], 'HandL': [0.46672192215919495, 0.4184999465942383, 0.11391899734735489], 'HandR': [0.5023505687713623, 0.3679458200931549, -0.1746431142091751], 'Hip.L': [0.44062328338623047, 0.4667324721813202, 0.09283103793859482], 'Hip.R': [0.4306725561618805, 0.4746238887310028, -0.09293249994516373], 'ShinL': [0.47909536957740784, 0.597222089767456, 0.15275464951992035], 'ShinR': [0.4079832434654236, 0.6211693286895752, -0.07491306215524673], 'FootL': [0.5148232579231262, 0.7488541007041931, 0.23898348212242126], 'FootR': [0.3756692707538605, 0.7758609056472778, 0.0015158633468672633], 'FootL_end': [0.5624036192893982, 0.7555129528045654, 0.19655360281467438], 'FootR_end': [0.41594043374061584, 0.8107005953788757, -0.06781910359859467]}"
8,1201.2,"{'Head_end': [0.4589996933937073, 0.16986428201198578, -0.011887799017131329], 'UpperArmL': [0.4286554157733917, 0.24569953978061676, 0.12476978451013565], 'UpperArmR': [0.4325774312019348, 0.23152558505535126, -0.18668769299983978], 'LoweArmL': [0.42536991834640503, 0.35850492119789124, 0.16015173494815826], 'LoweArmR': [0.4465990364551544, 0.33108097314834595, -0.22759467363357544], 'HandL': [0.4594537019729614, 0.41967853903770447, 0.12078562378883362], 'HandR': [0.504402220249176, 0.3669837415218353, -0.18971984088420868], 'Hip.L': [0.4394850432872772, 0.4774090349674225, 0.09294532239437103], 'Hip.R': [0.4301690459251404, 0.48463016748428345, -0.09309682995080948], 'ShinL': [0.4780365824699402, 0.607438325881958, 0.15704916417598724], 'ShinR': [0.4060884416103363, 0.6325114965438843, -0.06177281215786934], 'FootL': [0.5167232751846313, 0.7516354322433472, 0.24878615140914917], 'FootR': [0.36776918172836304, 0.7772148847579956, 0.034101273864507675], 'FootL_end': [0.5653650760650635, 0.7527339458465576, 0.20862069725990295], 'FootR_end': [0.4024324417114258, 0.8118571639060974, -0.03214779123663902]}"
9,1501.5,"{'Head_end': [0.4601355493068695, 0.17429357767105103, -0.027063820511102676], 'UpperArmL': [0.42980897426605225, 0.25088465213775635, 0.1204058900475502], 'UpperArmR': [0.433878093957901, 0.23791538178920746, -0.19264592230319977], 'LoweArmL': [0.42689263820648193, 0.36163708567619324, 0.16176113486289978], 'LoweArmR': [0.4470521807670593, 0.33145540952682495, -0.2344730645418167], 'HandL': [0.4574846625328064, 0.42041200399398804, 0.12142667174339294], 'HandR': [0.5070998072624207, 0.36743107438087463, -0.20272232592105865], 'Hip.L': [0.4397282898426056, 0.4838891625404358, 0.09305594861507416], 'Hip.R': [0.43074437975883484, 0.4931665360927582, -0.09323736280202866], 'ShinL': [0.47851115465164185, 0.6083065867424011, 0.18071690201759338], 'ShinR': [0.4046567976474762, 0.6378020644187927, -0.05872596055269241], 'FootL': [0.5098392963409424, 0.7551670670509338, 0.29801037907600403], 'FootR': [0.3586164712905884, 0.7775173783302307, 0.04018157720565796], 'FootL_end': [0.553399384021759, 0.7543562054634094, 0.26369723677635193], 'FootR_end': [0.3921595811843872, 0.8123342990875244, -0.025409942492842674]}"
